image,labelname,labelnumber,pct
cards\Rorschach_blot_01.jpg,wall_clock,0,22.12%
cards\Rorschach_blot_01.jpg,coral_fungus,1,15.30%
cards\Rorschach_blot_01.jpg,parachute,2,6.23%
cards\Rorschach_blot_01.jpg,hen-of-the-woods,3,5.06%
cards\Rorschach_blot_01.jpg,missile,4,4.66%
cards\Rorschach_blot_01.jpg,earthstar,5,4.00%
cards\Rorschach_blot_01.jpg,book_jacket,6,3.23%
cards\Rorschach_blot_01.jpg,airship,7,2.25%
cards\Rorschach_blot_01.jpg,shield,8,2.13%
cards\Rorschach_blot_01.jpg,fire_screen,9,2.09%
cards\Rorschach_blot_02.jpg,hair_slide,0,17.84%
cards\Rorschach_blot_02.jpg,handkerchief,1,10.83%
cards\Rorschach_blot_02.jpg,parachute,2,4.21%
cards\Rorschach_blot_02.jpg,admiral,3,3.83%
cards\Rorschach_blot_02.jpg,stole,4,3.54%
cards\Rorschach_blot_02.jpg,volcano,5,3.39%
cards\Rorschach_blot_02.jpg,hen-of-the-woods,6,3.07%
cards\Rorschach_blot_02.jpg,brassiere,7,2.95%
cards\Rorschach_blot_02.jpg,sea_slug,8,2.81%
cards\Rorschach_blot_02.jpg,hummingbird,9,2.59%
cards\Rorschach_blot_03.jpg,book_jacket,0,80.29%
cards\Rorschach_blot_03.jpg,comic_book,1,6.02%
cards\Rorschach_blot_03.jpg,parachute,2,2.94%
cards\Rorschach_blot_03.jpg,brassiere,3,1.16%
cards\Rorschach_blot_03.jpg,tick,4,0.70%
cards\Rorschach_blot_03.jpg,scorpion,5,0.65%
cards\Rorschach_blot_03.jpg,envelope,6,0.57%
cards\Rorschach_blot_03.jpg,hip,7,0.48%
cards\Rorschach_blot_03.jpg,matchstick,8,0.37%
cards\Rorschach_blot_03.jpg,wall_clock,9,0.32%
cards\Rorschach_blot_04.jpg,volcano,0,42.26%
cards\Rorschach_blot_04.jpg,space_shuttle,1,17.05%
cards\Rorschach_blot_04.jpg,missile,2,4.53%
cards\Rorschach_blot_04.jpg,steam_locomotive,3,4.43%
cards\Rorschach_blot_04.jpg,jellyfish,4,2.63%
cards\Rorschach_blot_04.jpg,coral_fungus,5,2.60%
cards\Rorschach_blot_04.jpg,hermit_crab,6,2.22%
cards\Rorschach_blot_04.jpg,cauliflower,7,2.14%
