image,labelname,labelnumber,pct
cards\Rorschach_blot_01.jpg,warplane,0,88.33%
cards\Rorschach_blot_01.jpg,missile,1,3.38%
cards\Rorschach_blot_01.jpg,wing,2,2.91%
cards\Rorschach_blot_01.jpg,projectile,3,2.56%
cards\Rorschach_blot_01.jpg,space_shuttle,4,0.36%
cards\Rorschach_blot_01.jpg,aircraft_carrier,5,0.12%
cards\Rorschach_blot_01.jpg,airliner,6,0.05%
cards\Rorschach_blot_01.jpg,parachute,7,0.04%
cards\Rorschach_blot_01.jpg,airship,8,0.04%
cards\Rorschach_blot_01.jpg,starfish,9,0.04%
cards\Rorschach_blot_02.jpg,wall_clock,0,18.41%
cards\Rorschach_blot_02.jpg,feather_boa,1,2.10%
cards\Rorschach_blot_02.jpg,admiral,2,2.09%
cards\Rorschach_blot_02.jpg,throne,3,2.05%
cards\Rorschach_blot_02.jpg,poncho,4,2.00%
cards\Rorschach_blot_02.jpg,black_grouse,5,1.84%
cards\Rorschach_blot_02.jpg,cloak,6,1.67%
cards\Rorschach_blot_02.jpg,quill,7,1.58%
cards\Rorschach_blot_02.jpg,volcano,8,1.55%
cards\Rorschach_blot_02.jpg,mask,9,1.40%
cards\Rorschach_blot_03.jpg,book_jacket,0,37.41%
cards\Rorschach_blot_03.jpg,shield,1,8.02%
cards\Rorschach_blot_03.jpg,tray,2,6.83%
cards\Rorschach_blot_03.jpg,binder,3,5.41%
cards\Rorschach_blot_03.jpg,fire_screen,4,4.07%
cards\Rorschach_blot_03.jpg,jersey,5,2.47%
cards\Rorschach_blot_03.jpg,handkerchief,6,2.04%
cards\Rorschach_blot_03.jpg,doormat,7,1.67%
cards\Rorschach_blot_03.jpg,brass,8,1.53%
cards\Rorschach_blot_03.jpg,envelope,9,1.46%
cards\Rorschach_blot_04.jpg,fountain,0,61.72%
cards\Rorschach_blot_04.jpg,fire_screen,1,4.88%
cards\Rorschach_blot_04.jpg,space_shuttle,2,1.78%
cards\Rorschach_blot_04.jpg,parachute,3,1.41%
