image,labelname,labelnumber,pct
cards\Rorschach_blot_01.jpg,walking_stick,0,6.63%
cards\Rorschach_blot_01.jpg,traffic_light,1,6.30%
cards\Rorschach_blot_01.jpg,breastplate,2,4.69%
cards\Rorschach_blot_01.jpg,shield,3,2.82%
cards\Rorschach_blot_01.jpg,hammerhead,4,2.60%
cards\Rorschach_blot_01.jpg,missile,5,2.52%
cards\Rorschach_blot_01.jpg,lampshade,6,2.23%
cards\Rorschach_blot_01.jpg,cuirass,7,2.00%
cards\Rorschach_blot_01.jpg,tank,8,1.77%
cards\Rorschach_blot_01.jpg,warplane,9,1.34%
cards\Rorschach_blot_02.jpg,hair_slide,0,17.97%
cards\Rorschach_blot_02.jpg,honeycomb,1,11.50%
cards\Rorschach_blot_02.jpg,mask,2,8.77%
cards\Rorschach_blot_02.jpg,geyser,3,3.39%
cards\Rorschach_blot_02.jpg,breastplate,4,2.75%
cards\Rorschach_blot_02.jpg,wall_clock,5,2.18%
cards\Rorschach_blot_02.jpg,fire_screen,6,2.18%
cards\Rorschach_blot_02.jpg,shield,7,2.16%
cards\Rorschach_blot_02.jpg,admiral,8,1.82%
cards\Rorschach_blot_02.jpg,cuirass,9,1.74%
cards\Rorschach_blot_03.jpg,shield,0,40.51%
cards\Rorschach_blot_03.jpg,jersey,1,7.71%
cards\Rorschach_blot_03.jpg,coffee_mug,2,6.93%
cards\Rorschach_blot_03.jpg,tray,3,6.06%
cards\Rorschach_blot_03.jpg,pitcher,4,4.67%
cards\Rorschach_blot_03.jpg,book_jacket,5,1.96%
cards\Rorschach_blot_03.jpg,cup,6,1.83%
cards\Rorschach_blot_03.jpg,envelope,7,1.69%
cards\Rorschach_blot_03.jpg,pillow,8,1.29%
cards\Rorschach_blot_03.jpg,wall_clock,9,1.28%
cards\Rorschach_blot_04.jpg,banana,0,13.21%
cards\Rorschach_blot_04.jpg,fountain,1,10.20%
cards\Rorschach_blot_04.jpg,volcano,2,6.46%
cards\Rorschach_blot_04.jpg,vase,3,3.44%
cards\Rorschach_blot_04.jpg,coral_fungus,4,2.82%
cards\Rorschach_blot_04.jpg,pitcher,5,2.67%
cards\Rorschach_blot_04.jpg,jellyfish,6,1.97%
cards\Rorschach_blot_04.jpg,hen-of-the-woods,7,1.97%
cards\Rorschach_blot_04.jpg,wool,8,1.88%
cards\Rorschach_blot_04.jpg,missile,9,1.75%
cards\Rorschach_blot_05.jpg,isopod,0,11.33%
cards\Rorschach_blot_05.jpg,warplane,1,7.78%
cards\Rorschach_blot_05.jpg,tank,2,2.66%
cards\Rorschach_blot_05.jpg,pot,3,2.12%
cards\Rorschach_blot_05.jpg,paper_towel,4,1.86%
cards\Rorschach_blot_05.jpg,missile,5,1.67%
cards\Rorschach_blot_05.jpg,shield,6,1.56%
cards\Rorschach_blot_05.jpg,quill,7,1.37%
cards\Rorschach_blot_05.jpg,fire_screen,8,1.31%
cards\Rorschach_blot_05.jpg,electric_ray,9,1.31%
cards\Rorschach_blot_06.jpg,warplane,0,23.02%
cards\Rorschach_blot_06.jpg,missile,1,18.91%
cards\Rorschach_blot_06.jpg,projectile,2,4.57%
cards\Rorschach_blot_06.jpg,wing,3,2.89%
cards\Rorschach_blot_06.jpg,aircraft_carrier,4,1.72%
cards\Rorschach_blot_06.jpg,banana,5,1.32%
cards\Rorschach_blot_06.jpg,ant,6,0.97%
cards\Rorschach_blot_06.jpg,airliner,7,0.87%
cards\Rorschach_blot_06.jpg,fountain,8,0.83%
cards\Rorschach_blot_06.jpg,brass,9,0.80%
cards\Rorschach_blot_07.jpg,missile,0,36.33%
cards\Rorschach_blot_07.jpg,projectile,1,22.02%
cards\Rorschach_blot_07.jpg,geyser,2,11.51%
cards\Rorschach_blot_07.jpg,screw,3,3.54%
cards\Rorschach_blot_07.jpg,volcano,4,1.92%
cards\Rorschach_blot_07.jpg,breastplate,5,1.62%
cards\Rorschach_blot_07.jpg,banana,6,0.76%
cards\Rorschach_blot_07.jpg,barometer,7,0.69%
cards\Rorschach_blot_07.jpg,honeycomb,8,0.68%
cards\Rorschach_blot_07.jpg,steam_locomotive,9,0.62%
cards\Rorschach_blot_08.jpg,umbrella,0,58.12%
cards\Rorschach_blot_08.jpg,parachute,1,13.32%
cards\Rorschach_blot_08.jpg,jellyfish,2,1.63%
