image,labelname,labelnumber,pct
cards\Rorschach_blot_01.jpg,birdhouse,0,11.50%
cards\Rorschach_blot_01.jpg,kite,1,11.38%
cards\Rorschach_blot_01.jpg,vulture,2,11.32%
cards\Rorschach_blot_01.jpg,warplane,3,10.25%
cards\Rorschach_blot_01.jpg,hummingbird,4,9.19%
cards\Rorschach_blot_01.jpg,acorn,5,7.00%
cards\Rorschach_blot_01.jpg,conch,6,6.55%
cards\Rorschach_blot_01.jpg,wing,7,4.28%
cards\Rorschach_blot_01.jpg,black_grouse,8,2.81%
cards\Rorschach_blot_01.jpg,quail,9,2.11%
cards\Rorschach_blot_02.jpg,cock,0,72.84%
cards\Rorschach_blot_02.jpg,hen,1,9.43%
cards\Rorschach_blot_02.jpg,conch,2,6.46%
cards\Rorschach_blot_02.jpg,black_grouse,3,1.79%
cards\Rorschach_blot_02.jpg,birdhouse,4,1.08%
cards\Rorschach_blot_02.jpg,hummingbird,5,0.74%
cards\Rorschach_blot_02.jpg,mask,6,0.73%
cards\Rorschach_blot_02.jpg,obelisk,7,0.64%
cards\Rorschach_blot_02.jpg,admiral,8,0.42%
cards\Rorschach_blot_02.jpg,flagpole,9,0.34%
cards\Rorschach_blot_03.jpg,candle,0,32.68%
cards\Rorschach_blot_03.jpg,ice_cream,1,22.52%
cards\Rorschach_blot_03.jpg,vase,2,5.37%
cards\Rorschach_blot_03.jpg,book_jacket,3,4.56%
cards\Rorschach_blot_03.jpg,lipstick,4,2.62%
cards\Rorschach_blot_03.jpg,handkerchief,5,2.62%
cards\Rorschach_blot_03.jpg,jersey,6,1.86%
cards\Rorschach_blot_03.jpg,soap_dispenser,7,1.66%
cards\Rorschach_blot_03.jpg,tray,8,1.45%
cards\Rorschach_blot_03.jpg,pitcher,9,1.39%
cards\Rorschach_blot_04.jpg,vase,0,12.82%
cards\Rorschach_blot_04.jpg,Afghan_hound,1,5.89%
cards\Rorschach_blot_04.jpg,boxer,2,5.48%
cards\Rorschach_blot_04.jpg,miniature_schnauzer,3,3.59%
cards\Rorschach_blot_04.jpg,hip,4,3.59%
cards\Rorschach_blot_04.jpg,triumphal_arch,5,3.02%
cards\Rorschach_blot_04.jpg,feather_boa,6,2.88%
cards\Rorschach_blot_04.jpg,cup,7,2.68%
cards\Rorschach_blot_04.jpg,pitcher,8,2.01%
cards\Rorschach_blot_04.jpg,isopod,9,1.55%
cards\Rorschach_blot_05.jpg,rhinoceros_beetle,0,14.52%
cards\Rorschach_blot_05.jpg,fire_screen,1,8.59%
cards\Rorschach_blot_05.jpg,hummingbird,2,7.19%
cards\Rorschach_blot_05.jpg,buckeye,3,6.41%
cards\Rorschach_blot_05.jpg,triumphal_arch,4,5.69%
cards\Rorschach_blot_05.jpg,fly,5,5.47%
cards\Rorschach_blot_05.jpg,hip,6,4.38%
cards\Rorschach_blot_05.jpg,bee,7,2.83%
cards\Rorschach_blot_05.jpg,strawberry,8,2.55%
cards\Rorschach_blot_05.jpg,tarantula,9,2.12%
cards\Rorschach_blot_06.jpg,warplane,0,65.99%
cards\Rorschach_blot_06.jpg,missile,1,11.34%
cards\Rorschach_blot_06.jpg,projectile,2,4.32%
cards\Rorschach_blot_06.jpg,wing,3,2.32%
cards\Rorschach_blot_06.jpg,pole,4,1.05%
cards\Rorschach_blot_06.jpg,feather_boa,5,0.92%
cards\Rorschach_blot_06.jpg,aircraft_carrier,6,0.84%
cards\Rorschach_blot_06.jpg,isopod,7,0.74%
cards\Rorschach_blot_06.jpg,fountain,8,0.72%
cards\Rorschach_blot_06.jpg,space_shuttle,9,0.69%
cards\Rorschach_blot_07.jpg,hip,0,29.89%
cards\Rorschach_blot_07.jpg,candle,1,7.76%
cards\Rorschach_blot_07.jpg,strawberry,2,5.80%
cards\Rorschach_blot_07.jpg,necklace,3,4.30%
cards\Rorschach_blot_07.jpg,matchstick,4,2.87%
cards\Rorschach_blot_07.jpg,tray,5,2.60%
cards\Rorschach_blot_07.jpg,hook,6,2.13%
cards\Rorschach_blot_07.jpg,geyser,7,2.12%
cards\Rorschach_blot_07.jpg,bucket,8,1.74%
cards\Rorschach_blot_07.jpg,cauliflower,9,1.53%
cards\Rorschach_blot_08.jpg,fountain,0,77.33%
cards\Rorschach_blot_08.jpg,mask,1,3.30%
cards\Rorschach_blot_08.jpg,handkerchief,2,1.17%
cards\Rorschach_blot_08.jpg,jigsaw_puzzle,3,0.95%
cards\Rorschach_blot_08.jpg,necklace,4,0.78%
cards\Rorschach_blot_08.jpg,umbrella,5,0.75%
cards\Rorschach_blot_08.jpg,orange,6,0.71%
cards\Rorschach_blot_08.jpg,wool,7,0.55%
cards\Rorschach_blot_08.jpg,fire_screen,8,0.46%
cards\Rorschach_blot_08.jpg,shovel,9,0.46%
cards\Rorschach_blot_09.jpg,fountain,0,64.82%
cards\Rorschach_blot_09.jpg,hourglass,1,21.00%
cards\Rorschach_blot_09.jpg,balloon,2,4.18%
cards\Rorschach_blot_09.jpg,parachute,3,1.31%
cards\Rorschach_blot_09.jpg,red_wine,4,1.13%
cards\Rorschach_blot_09.jpg,trifle,5,0.87%
cards\Rorschach_blot_09.jpg,altar,6,0.54%
cards\Rorschach_blot_09.jpg,hummingbird,7,0.49%
cards\Rorschach_blot_09.jpg,vase,8,0.38%
cards\Rorschach_blot_09.jpg,espresso,9,0.31%
cards\Rorschach_blot_10.jpg,handkerchief,0,12.82%
cards\Rorschach_blot_10.jpg,feather_boa,1,8.78%
cards\Rorschach_blot_10.jpg,goldfish,2,3.79%
cards\Rorschach_blot_10.jpg,tray,3,3.41%
cards\Rorschach_blot_10.jpg,fountain,4,2.68%
cards\Rorschach_blot_10.jpg,candle,5,2.58%
cards\Rorschach_blot_10.jpg,vase,6,2.39%
cards\Rorschach_blot_10.jpg,saltshaker,7,2.35%
cards\Rorschach_blot_10.jpg,fire_screen,8,2.14%
cards\Rorschach_blot_10.jpg,thimble,9,1.90%
