image,labelname,labelnumber,pct
cards\Rorschach_blot_01.jpg,warplane,0,46.16%
cards\Rorschach_blot_01.jpg,wing,1,27.57%
cards\Rorschach_blot_01.jpg,cuirass,2,3.99%
cards\Rorschach_blot_01.jpg,missile,3,2.47%
cards\Rorschach_blot_01.jpg,breastplate,4,2.29%
cards\Rorschach_blot_01.jpg,projectile,5,1.33%
cards\Rorschach_blot_01.jpg,aircraft_carrier,6,1.10%
cards\Rorschach_blot_01.jpg,shield,7,0.79%
cards\Rorschach_blot_01.jpg,pole,8,0.44%
cards\Rorschach_blot_01.jpg,volcano,9,0.36%
cards\Rorschach_blot_02.jpg,mask,0,29.46%
cards\Rorschach_blot_02.jpg,bearskin,1,8.50%
cards\Rorschach_blot_02.jpg,cuirass,2,6.75%
cards\Rorschach_blot_02.jpg,breastplate,3,5.17%
cards\Rorschach_blot_02.jpg,wall_clock,4,3.98%
cards\Rorschach_blot_02.jpg,cloak,5,3.15%
cards\Rorschach_blot_02.jpg,chime,6,3.07%
cards\Rorschach_blot_02.jpg,shield,7,2.42%
cards\Rorschach_blot_02.jpg,velvet,8,1.50%
cards\Rorschach_blot_02.jpg,frilled_lizard,9,1.49%
cards\Rorschach_blot_03.jpg,book_jacket,0,39.06%
cards\Rorschach_blot_03.jpg,jersey,1,17.15%
cards\Rorschach_blot_03.jpg,comic_book,2,5.41%
cards\Rorschach_blot_03.jpg,ashcan,3,2.32%
cards\Rorschach_blot_03.jpg,envelope,4,1.67%
cards\Rorschach_blot_03.jpg,tray,5,1.57%
cards\Rorschach_blot_03.jpg,bucket,6,1.51%
cards\Rorschach_blot_03.jpg,coffee_mug,7,1.18%
cards\Rorschach_blot_03.jpg,toilet_tissue,8,1.12%
cards\Rorschach_blot_03.jpg,milk_can,9,0.74%
cards\Rorschach_blot_04.jpg,fountain,0,10.39%
cards\Rorschach_blot_04.jpg,vase,1,7.52%
cards\Rorschach_blot_04.jpg,cauliflower,2,5.45%
cards\Rorschach_blot_04.jpg,broccoli,3,3.33%
cards\Rorschach_blot_04.jpg,cicada,4,2.63%
cards\Rorschach_blot_04.jpg,black_swan,5,2.09%
cards\Rorschach_blot_04.jpg,book_jacket,6,1.92%
cards\Rorschach_blot_04.jpg,hen-of-the-woods,7,1.84%
cards\Rorschach_blot_04.jpg,hip,8,1.82%
cards\Rorschach_blot_04.jpg,pitcher,9,1.32%
cards\Rorschach_blot_05.jpg,isopod,0,37.56%
cards\Rorschach_blot_05.jpg,tick,1,3.84%
cards\Rorschach_blot_05.jpg,ant,2,3.73%
cards\Rorschach_blot_05.jpg,ground_beetle,3,3.57%
cards\Rorschach_blot_05.jpg,warplane,4,3.39%
cards\Rorschach_blot_05.jpg,cicada,5,2.21%
cards\Rorschach_blot_05.jpg,crayfish,6,1.98%
cards\Rorschach_blot_05.jpg,cockroach,7,1.88%
cards\Rorschach_blot_05.jpg,walking_stick,8,1.84%
cards\Rorschach_blot_05.jpg,rhinoceros_beetle,9,1.42%
cards\Rorschach_blot_06.jpg,missile,0,53.82%
cards\Rorschach_blot_06.jpg,projectile,1,26.38%
cards\Rorschach_blot_06.jpg,warplane,2,0.52%
cards\Rorschach_blot_06.jpg,flatworm,3,0.26%
cards\Rorschach_blot_06.jpg,space_shuttle,4,0.24%
