image,labelname,labelnumber,pct
cards\Rorschach_blot_01.jpg,wall_clock,0,32.29%
cards\Rorschach_blot_01.jpg,warplane,1,15.95%
cards\Rorschach_blot_01.jpg,wing,2,6.71%
cards\Rorschach_blot_01.jpg,parachute,3,3.58%
cards\Rorschach_blot_01.jpg,analog_clock,4,2.11%
cards\Rorschach_blot_01.jpg,projectile,5,1.93%
cards\Rorschach_blot_01.jpg,barometer,6,1.36%
cards\Rorschach_blot_01.jpg,aircraft_carrier,7,1.32%
cards\Rorschach_blot_01.jpg,shield,8,1.01%
cards\Rorschach_blot_01.jpg,missile,9,0.92%
cards\Rorschach_blot_02.jpg,earthstar,0,41.42%
cards\Rorschach_blot_02.jpg,brassiere,1,12.75%
cards\Rorschach_blot_02.jpg,conch,2,9.86%
cards\Rorschach_blot_02.jpg,hen-of-the-woods,3,3.48%
cards\Rorschach_blot_02.jpg,mushroom,4,0.77%
cards\Rorschach_blot_02.jpg,isopod,5,0.67%
cards\Rorschach_blot_02.jpg,candle,6,0.63%
cards\Rorschach_blot_02.jpg,stinkhorn,7,0.54%
cards\Rorschach_blot_02.jpg,frilled_lizard,8,0.47%
cards\Rorschach_blot_02.jpg,hair_slide,9,0.44%
cards\Rorschach_blot_03.jpg,ant,0,25.81%
cards\Rorschach_blot_03.jpg,paper_towel,1,2.26%
cards\Rorschach_blot_03.jpg,book_jacket,2,2.00%
cards\Rorschach_blot_03.jpg,envelope,3,1.95%
cards\Rorschach_blot_03.jpg,shield,4,1.93%
cards\Rorschach_blot_03.jpg,tray,5,1.85%
cards\Rorschach_blot_03.jpg,wall_clock,6,1.27%
cards\Rorschach_blot_03.jpg,garden_spider,7,1.24%
cards\Rorschach_blot_03.jpg,barn_spider,8,1.06%
cards\Rorschach_blot_03.jpg,toilet_tissue,9,1.01%
cards\Rorschach_blot_04.jpg,king_crab,0,23.99%
cards\Rorschach_blot_04.jpg,jellyfish,1,16.61%
cards\Rorschach_blot_04.jpg,scorpion,2,5.01%
cards\Rorschach_blot_04.jpg,isopod,3,4.59%
cards\Rorschach_blot_04.jpg,starfish,4,1.96%
cards\Rorschach_blot_04.jpg,rock_crab,5,1.76%
cards\Rorschach_blot_04.jpg,tick,6,1.50%
cards\Rorschach_blot_04.jpg,space_shuttle,7,1.24%
cards\Rorschach_blot_04.jpg,scuba_diver,8,1.05%
cards\Rorschach_blot_04.jpg,crayfish,9,1.05%
cards\Rorschach_blot_05.jpg,ant,0,41.33%
cards\Rorschach_blot_05.jpg,fly,1,5.27%
cards\Rorschach_blot_05.jpg,isopod,2,4.18%
cards\Rorschach_blot_05.jpg,tick,3,3.66%
cards\Rorschach_blot_05.jpg,cockroach,4,2.87%
cards\Rorschach_blot_05.jpg,ground_beetle,5,2.79%
cards\Rorschach_blot_05.jpg,scorpion,6,2.64%
cards\Rorschach_blot_05.jpg,barn_spider,7,1.92%
cards\Rorschach_blot_05.jpg,long-horned_beetle,8,1.91%
cards\Rorschach_blot_05.jpg,cricket,9,1.42%
cards\Rorschach_blot_06.jpg,warplane,0,30.31%
cards\Rorschach_blot_06.jpg,wing,1,14.67%
cards\Rorschach_blot_06.jpg,sea_cucumber,2,6.01%
cards\Rorschach_blot_06.jpg,missile,3,3.81%
cards\Rorschach_blot_06.jpg,projectile,4,3.28%
cards\Rorschach_blot_06.jpg,airliner,5,1.85%
cards\Rorschach_blot_06.jpg,parachute,6,1.26%
cards\Rorschach_blot_06.jpg,space_shuttle,7,1.01%
cards\Rorschach_blot_06.jpg,starfish,8,0.75%
cards\Rorschach_blot_06.jpg,airship,9,0.74%
cards\Rorschach_blot_07.jpg,projectile,0,42.31%
cards\Rorschach_blot_07.jpg,missile,1,32.25%
cards\Rorschach_blot_07.jpg,warplane,2,4.41%
cards\Rorschach_blot_07.jpg,aircraft_carrier,3,2.43%
cards\Rorschach_blot_07.jpg,wing,4,1.36%
cards\Rorschach_blot_07.jpg,brassiere,5,0.89%
cards\Rorschach_blot_07.jpg,hip,6,0.30%
cards\Rorschach_blot_07.jpg,space_shuttle,7,0.28%
cards\Rorschach_blot_07.jpg,airship,8,0.27%
cards\Rorschach_blot_07.jpg,ant,9,0.23%
cards\Rorschach_blot_08.jpg,fountain,0,71.71%
cards\Rorschach_blot_08.jpg,jellyfish,1,2.01%
cards\Rorschach_blot_08.jpg,pencil_sharpener,2,1.74%
cards\Rorschach_blot_08.jpg,umbrella,3,1.44%
cards\Rorschach_blot_08.jpg,balloon,4,0.54%
cards\Rorschach_blot_08.jpg,parachute,5,0.30%
cards\Rorschach_blot_08.jpg,airship,6,0.26%
cards\Rorschach_blot_08.jpg,geyser,7,0.21%
cards\Rorschach_blot_08.jpg,bubble,8,0.20%
cards\Rorschach_blot_08.jpg,picket_fence,9,0.19%
cards\Rorschach_blot_09.jpg,lampshade,0,13.48%
cards\Rorschach_blot_09.jpg,conch,1,11.71%
cards\Rorschach_blot_09.jpg,bolo_tie,2,4.77%
cards\Rorschach_blot_09.jpg,necklace,3,3.84%
cards\Rorschach_blot_09.jpg,chime,4,3.60%
cards\Rorschach_blot_09.jpg,goblet,5,2.82%
cards\Rorschach_blot_09.jpg,handkerchief,6,2.67%
cards\Rorschach_blot_09.jpg,vase,7,1.73%
cards\Rorschach_blot_09.jpg,trifle,8,1.67%
cards\Rorschach_blot_09.jpg,table_lamp,9,1.50%
cards\Rorschach_blot_10.jpg,handkerchief,0,10.61%
cards\Rorschach_blot_10.jpg,tray,1,4.78%
cards\Rorschach_blot_10.jpg,vase,2,4.10%
cards\Rorschach_blot_10.jpg,candle,3,3.08%
cards\Rorschach_blot_10.jpg,purse,4,2.60%
cards\Rorschach_blot_10.jpg,bib,5,2.26%
cards\Rorschach_blot_10.jpg,Christmas_stocking,6,1.92%
cards\Rorschach_blot_10.jpg,lampshade,7,1.60%
cards\Rorschach_blot_10.jpg,pillow,8,1.54%
cards\Rorschach_blot_10.jpg,paper_towel,9,1.46%
