image,labelname,labelnumber,pct
cards\Rorschach_blot_01.jpg,jigsaw_puzzle,0,23.19%
cards\Rorschach_blot_01.jpg,conch,1,15.11%
cards\Rorschach_blot_01.jpg,pencil_sharpener,2,14.80%
cards\Rorschach_blot_01.jpg,acorn,3,7.90%
cards\Rorschach_blot_01.jpg,hen-of-the-woods,4,5.54%
cards\Rorschach_blot_01.jpg,triceratops,5,4.50%
cards\Rorschach_blot_01.jpg,wall_clock,6,4.11%
cards\Rorschach_blot_01.jpg,birdhouse,7,2.46%
cards\Rorschach_blot_01.jpg,chime,8,2.29%
cards\Rorschach_blot_01.jpg,lampshade,9,1.50%
cards\Rorschach_blot_02.jpg,vase,0,11.44%
cards\Rorschach_blot_02.jpg,lampshade,1,11.04%
cards\Rorschach_blot_02.jpg,tray,2,7.25%
cards\Rorschach_blot_02.jpg,envelope,3,4.95%
cards\Rorschach_blot_02.jpg,wall_clock,4,4.87%
cards\Rorschach_blot_02.jpg,hummingbird,5,4.09%
cards\Rorschach_blot_02.jpg,table_lamp,6,2.69%
cards\Rorschach_blot_02.jpg,candle,7,2.65%
cards\Rorschach_blot_02.jpg,cock,8,2.47%
cards\Rorschach_blot_02.jpg,Christmas_stocking,9,2.24%
cards\Rorschach_blot_03.jpg,matchstick,0,24.02%
cards\Rorschach_blot_03.jpg,red_wine,1,7.97%
cards\Rorschach_blot_03.jpg,candle,2,7.43%
cards\Rorschach_blot_03.jpg,book_jacket,3,7.21%
cards\Rorschach_blot_03.jpg,chocolate_sauce,4,7.09%
cards\Rorschach_blot_03.jpg,balance_beam,5,6.49%
cards\Rorschach_blot_03.jpg,hip,6,5.60%
cards\Rorschach_blot_03.jpg,barn_spider,7,3.28%
cards\Rorschach_blot_03.jpg,parachute,8,2.45%
cards\Rorschach_blot_03.jpg,bobsled,9,1.14%
cards\Rorschach_blot_04.jpg,wall_clock,0,18.25%
cards\Rorschach_blot_04.jpg,book_jacket,1,12.99%
cards\Rorschach_blot_04.jpg,hen-of-the-woods,2,9.59%
cards\Rorschach_blot_04.jpg,vase,3,2.59%
cards\Rorschach_blot_04.jpg,lampshade,4,2.55%
cards\Rorschach_blot_04.jpg,jigsaw_puzzle,5,1.96%
cards\Rorschach_blot_04.jpg,fountain,6,1.93%
cards\Rorschach_blot_04.jpg,table_lamp,7,1.85%
cards\Rorschach_blot_04.jpg,wardrobe,8,1.83%
cards\Rorschach_blot_04.jpg,candle,9,1.81%
cards\Rorschach_blot_05.jpg,isopod,0,12.55%
cards\Rorschach_blot_05.jpg,feather_boa,1,8.06%
cards\Rorschach_blot_05.jpg,wall_clock,2,7.69%
cards\Rorschach_blot_05.jpg,scorpion,3,4.83%
cards\Rorschach_blot_05.jpg,conch,4,4.55%
cards\Rorschach_blot_05.jpg,sea_cucumber,5,2.76%
cards\Rorschach_blot_05.jpg,American_alligator,6,2.69%
cards\Rorschach_blot_05.jpg,African_crocodile,7,2.35%
cards\Rorschach_blot_05.jpg,bald_eagle,8,2.32%
cards\Rorschach_blot_05.jpg,fly,9,2.27%
cards\Rorschach_blot_06.jpg,space_shuttle,0,29.89%
cards\Rorschach_blot_06.jpg,missile,1,14.38%
cards\Rorschach_blot_06.jpg,airship,2,13.45%
cards\Rorschach_blot_06.jpg,wreck,3,11.94%
cards\Rorschach_blot_06.jpg,wall_clock,4,3.25%
cards\Rorschach_blot_06.jpg,warplane,5,3.20%
cards\Rorschach_blot_06.jpg,projectile,6,2.81%
cards\Rorschach_blot_06.jpg,chime,7,2.73%
cards\Rorschach_blot_06.jpg,fountain,8,1.68%
cards\Rorschach_blot_06.jpg,hook,9,1.03%
cards\Rorschach_blot_07.jpg,missile,0,17.66%
cards\Rorschach_blot_07.jpg,space_shuttle,1,16.93%
cards\Rorschach_blot_07.jpg,projectile,2,10.35%
cards\Rorschach_blot_07.jpg,parachute,3,3.30%
cards\Rorschach_blot_07.jpg,hook,4,2.83%
cards\Rorschach_blot_07.jpg,chime,5,2.51%
cards\Rorschach_blot_07.jpg,candle,6,2.22%
cards\Rorschach_blot_07.jpg,pickelhaube,7,2.21%
cards\Rorschach_blot_07.jpg,obelisk,8,1.98%
cards\Rorschach_blot_07.jpg,wall_clock,9,1.58%
cards\Rorschach_blot_08.jpg,poncho,0,21.09%
