image,labelname,labelnumber,pct
cards\Rorschach_blot_01.jpg,lampshade,0,33.13%
cards\Rorschach_blot_01.jpg,breastplate,1,30.74%
cards\Rorschach_blot_01.jpg,wall_clock,2,10.24%
cards\Rorschach_blot_01.jpg,shield,3,5.59%
cards\Rorschach_blot_01.jpg,mask,4,5.26%
cards\Rorschach_blot_01.jpg,brassiere,5,2.72%
cards\Rorschach_blot_01.jpg,fire_screen,6,2.21%
cards\Rorschach_blot_01.jpg,space_shuttle,7,1.73%
cards\Rorschach_blot_01.jpg,cuirass,8,1.32%
cards\Rorschach_blot_01.jpg,wardrobe,9,1.06%
cards\Rorschach_blot_02.jpg,brassiere,0,59.47%
cards\Rorschach_blot_02.jpg,honeycomb,1,10.13%
cards\Rorschach_blot_02.jpg,conch,2,5.43%
cards\Rorschach_blot_02.jpg,hoopskirt,3,5.42%
cards\Rorschach_blot_02.jpg,hen-of-the-woods,4,2.93%
cards\Rorschach_blot_02.jpg,space_shuttle,5,2.92%
cards\Rorschach_blot_02.jpg,volcano,6,1.94%
cards\Rorschach_blot_02.jpg,vault,7,1.11%
cards\Rorschach_blot_02.jpg,gyromitra,8,1.04%
cards\Rorschach_blot_02.jpg,lampshade,9,0.88%
cards\Rorschach_blot_03.jpg,coffee_mug,0,62.61%
cards\Rorschach_blot_03.jpg,cup,1,20.61%
cards\Rorschach_blot_03.jpg,bucket,2,3.35%
cards\Rorschach_blot_03.jpg,pitcher,3,0.93%
cards\Rorschach_blot_03.jpg,ashcan,4,0.90%
cards\Rorschach_blot_03.jpg,teapot,5,0.71%
cards\Rorschach_blot_03.jpg,book_jacket,6,0.68%
cards\Rorschach_blot_03.jpg,vase,7,0.57%
cards\Rorschach_blot_03.jpg,milk_can,8,0.45%
cards\Rorschach_blot_03.jpg,water_jug,9,0.44%
cards\Rorschach_blot_04.jpg,volcano,0,59.50%
cards\Rorschach_blot_04.jpg,scorpion,1,12.74%
cards\Rorschach_blot_04.jpg,fire_screen,2,8.18%
cards\Rorschach_blot_04.jpg,isopod,3,2.43%
cards\Rorschach_blot_04.jpg,king_crab,4,2.05%
cards\Rorschach_blot_04.jpg,tarantula,5,2.02%
cards\Rorschach_blot_04.jpg,American_lobster,6,1.28%
cards\Rorschach_blot_04.jpg,vase,7,1.15%
cards\Rorschach_blot_04.jpg,cauliflower,8,0.99%
cards\Rorschach_blot_04.jpg,rhinoceros_beetle,9,0.80%
cards\Rorschach_blot_05.jpg,ant,0,20.25%
cards\Rorschach_blot_05.jpg,ground_beetle,1,16.01%
cards\Rorschach_blot_05.jpg,cockroach,2,14.53%
cards\Rorschach_blot_05.jpg,isopod,3,12.20%
cards\Rorschach_blot_05.jpg,long-horned_beetle,4,5.75%
cards\Rorschach_blot_05.jpg,scorpion,5,5.34%
cards\Rorschach_blot_05.jpg,cricket,6,3.72%
cards\Rorschach_blot_05.jpg,honeycomb,7,2.74%
cards\Rorschach_blot_05.jpg,hen-of-the-woods,8,1.99%
cards\Rorschach_blot_05.jpg,fire_screen,9,1.97%
cards\Rorschach_blot_06.jpg,space_shuttle,0,90.28%
cards\Rorschach_blot_06.jpg,projectile,1,4.80%
cards\Rorschach_blot_06.jpg,missile,2,2.28%
cards\Rorschach_blot_06.jpg,assault_rifle,3,1.37%
cards\Rorschach_blot_06.jpg,long-horned_beetle,4,0.26%
cards\Rorschach_blot_06.jpg,rifle,5,0.24%
cards\Rorschach_blot_06.jpg,bulletproof_vest,6,0.05%
cards\Rorschach_blot_06.jpg,breastplate,7,0.04%
cards\Rorschach_blot_06.jpg,fire_screen,8,0.04%
cards\Rorschach_blot_06.jpg,walking_stick,9,0.04%
cards\Rorschach_blot_07.jpg,parachute,0,25.30%
cards\Rorschach_blot_07.jpg,space_shuttle,1,19.77%
cards\Rorschach_blot_07.jpg,volcano,2,8.15%
cards\Rorschach_blot_07.jpg,balloon,3,5.37%
cards\Rorschach_blot_07.jpg,altar,4,3.15%
cards\Rorschach_blot_07.jpg,necklace,5,2.95%
cards\Rorschach_blot_07.jpg,cauliflower,6,2.42%
cards\Rorschach_blot_07.jpg,chime,7,2.25%
cards\Rorschach_blot_07.jpg,hook,8,1.78%
cards\Rorschach_blot_07.jpg,hair_slide,9,1.54%
cards\Rorschach_blot_08.jpg,parachute,0,98.27%
cards\Rorschach_blot_08.jpg,plastic_bag,1,0.65%
cards\Rorschach_blot_08.jpg,umbrella,2,0.37%
cards\Rorschach_blot_08.jpg,balloon,3,0.26%
cards\Rorschach_blot_08.jpg,jellyfish,4,0.06%
cards\Rorschach_blot_08.jpg,airship,5,0.05%
cards\Rorschach_blot_08.jpg,torch,6,0.04%
cards\Rorschach_blot_08.jpg,flagpole,7,0.03%
cards\Rorschach_blot_08.jpg,handkerchief,8,0.01%
cards\Rorschach_blot_08.jpg,conch,9,0.01%
cards\Rorschach_blot_09.jpg,volcano,0,44.77%
cards\Rorschach_blot_09.jpg,missile,1,28.67%
cards\Rorschach_blot_09.jpg,parachute,2,19.41%
cards\Rorschach_blot_09.jpg,projectile,3,2.45%
cards\Rorschach_blot_09.jpg,fire_screen,4,1.13%
cards\Rorschach_blot_09.jpg,torch,5,1.01%
cards\Rorschach_blot_09.jpg,space_shuttle,6,0.56%
cards\Rorschach_blot_09.jpg,jellyfish,7,0.36%
cards\Rorschach_blot_09.jpg,tank,8,0.29%
cards\Rorschach_blot_09.jpg,fireboat,9,0.10%
cards\Rorschach_blot_10.jpg,tray,0,77.38%
cards\Rorschach_blot_10.jpg,handkerchief,1,6.07%
cards\Rorschach_blot_10.jpg,envelope,2,2.90%
cards\Rorschach_blot_10.jpg,vase,3,2.44%
cards\Rorschach_blot_10.jpg,paper_towel,4,1.23%
cards\Rorschach_blot_10.jpg,goldfish,5,1.14%
cards\Rorschach_blot_10.jpg,jellyfish,6,1.06%
cards\Rorschach_blot_10.jpg,fire_screen,7,0.62%
cards\Rorschach_blot_10.jpg,pillow,8,0.58%
cards\Rorschach_blot_10.jpg,coral_reef,9,0.47%
